13:40:34.365 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:55:53.135 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:55:53.150 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:55:53.288 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@50d0686: startup date [Wed Feb 24 13:55:53 CET 2016]; root of context hierarchy 
13:55:53.353 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:55:53.788 [Thread-2] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@50d0686: startup date [Wed Feb 24 13:55:53 CET 2016]; root of context hierarchy 
13:58:12.861 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:58:12.881 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:58:12.882 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@669036bb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@487789ee, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3e7a4ab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@c968a1e] 
13:58:12.961 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/build/resources/main/application-context.xml] 
13:58:13.035 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
13:58:13.060 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:58:13.075 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:58:13.229 [Test worker] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 13:58:13 CET 2016]; root of context hierarchy 
13:58:13.308 [Test worker] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:58:13.846 [Thread-5] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 13:58:13 CET 2016]; root of context hierarchy 
13:58:37.596 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
13:58:37.606 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
13:58:37.608 [main] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@27a8c74e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2d8f65a4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1b68ddbd, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@646d64ab] 
13:58:37.685 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/bin/application-context.xml] 
13:58:37.753 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
13:58:37.788 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
13:58:37.802 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
13:58:37.942 [main] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@13c27452: startup date [Wed Feb 24 13:58:37 CET 2016]; root of context hierarchy 
13:58:38.009 [main] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
13:58:38.463 [Thread-2] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@13c27452: startup date [Wed Feb 24 13:58:37 CET 2016]; root of context hierarchy 
14:05:42.829 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener] 
14:05:42.851 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Could not instantiate TestExecutionListener [org.springframework.test.context.web.ServletTestExecutionListener]. Specify custom listener classes or make the default listener classes (and their required dependencies) available. Offending class: [javax/servlet/ServletContext] 
14:05:42.853 [Test worker] INFO  o.s.t.c.s.DefaultTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.support.DependencyInjectionTestExecutionListener@669036bb, org.springframework.test.context.support.DirtiesContextTestExecutionListener@487789ee, org.springframework.test.context.transaction.TransactionalTestExecutionListener@3e7a4ab, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@c968a1e] 
14:05:42.931 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from URL [file:/C:/Users/slavko.komarica@pstech.rs/git/java/tarapana/Tarapana/core/build/resources/main/application-context.xml] 
14:05:43.004 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [core-context.xml] 
14:05:43.029 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [services-context.xml] 
14:05:43.045 [Test worker] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [dao-context.xml] 
14:05:43.191 [Test worker] INFO  o.s.c.s.GenericApplicationContext - Refreshing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 14:05:43 CET 2016]; root of context hierarchy 
14:05:43.265 [Test worker] INFO  o.s.c.s.PropertySourcesPlaceholderConfigurer - Loading properties file from class path resource [tarapana.properties] 
14:05:43.734 [Thread-5] INFO  o.s.c.s.GenericApplicationContext - Closing org.springframework.context.support.GenericApplicationContext@27bcf446: startup date [Wed Feb 24 14:05:43 CET 2016]; root of context hierarchy 
